Method,Dataset,K,KNN Classifier Accuracy,Total Time
DistViz,MINST,10,0.964,30.2
DistViz,PEN DIGITS,10,0.988,5.97
DistViz,COIL-20,10,0.793,18.39
DistViz,Shuttle,10,0.99,34.89
DistViz,Fashion MINST,10,0.778,41.29
DistViz,MINST,20,0.96,38.2
DistViz,PEN DIGITS,20,0.98,6.8
DistViz,COIL-20,20,0.81,49.37
DistViz,Shuttle,20,0.99,37.39
DistViz,Fashion MINST,20,0.78,36.9
DistViz,MINST,50,0.946,43.5
DistViz,PEN DIGITS,50,0.972,7.48
DistViz,COIL-20,50,0.78,102.38
DistViz,Shuttle,50,0.99,49.39
DistViz,Fashion MINST,50,0.78,71.98
DistViz,MINST,100,0.929,82.8
DistViz,PEN DIGITS,100,0.982,8.26
DistViz,COIL-20,100,0.799,111.28
DistViz,Shuttle,100,0.99,68.39
DistViz,Fashion MINST,100,0.78,78.38
UMAP,MINST,10,0.961,40.3
UMAP,PEN DIGITS,10,0.982,6.95
UMAP,COIL-20,10,0.812,21.72
UMAP,Shuttle,10,0.99,36.51
UMAP,Fashion MINST,10,0.771,42.28
UMAP,MINST,20,0.968,46.44
UMAP,PEN DIGITS,20,0.986,7.4
UMAP,COIL-20,20,0.801,52.8
UMAP,Shuttle,20,0.99,39.45
UMAP,Fashion MINST,20,0.781,37.9
UMAP,MINST,50,0.961,53.6
UMAP,PEN DIGITS,50,0.982,8.13
UMAP,COIL-20,50,0.812,103.36
UMAP,Shuttle,50,0.99,50.35
UMAP,Fashion MINST,50,0.781,72.57
UMAP,MINST,100,0.959,102.7
UMAP,PEN DIGITS,100,0.982,8.28
UMAP,COIL-20,100,0.81,120.37
UMAP,Shuttle,100,0.99,70.85
UMAP,Fashion MINST,100,0.779,79.67
t-SNE,MINST,10,0.9696,86.2672
t-SNE,PEN DIGITS,10,0.9833,2.7951
t-SNE,COIL-20,10,0.8736,12.5114
t-SNE,Shuttle,10,0.9978,79.964
t-SNE,Fashion MINST,10,0.8368,91.0475
t-SNE,MINST,20,0.9682,86.2679
t-SNE,PEN DIGITS,20,0.975,2.7945
t-SNE,COIL-20,20,0.8264,12.5108
t-SNE,Shuttle,20,0.9978,79.9633
t-SNE,Fashion MINST,20,0.8341,91.047
t-SNE,MINST,50,0.9663,86.2668
t-SNE,PEN DIGITS,50,0.9556,2.7945
t-SNE,COIL-20,50,0.7382,12.5106
t-SNE,Shuttle,50,0.9965,79.9632
t-SNE,Fashion MINST,50,0.8222,91.0471
t-SNE,MINST,100,0.9653,86.2671
t-SNE,PEN DIGITS,100,0.9556,2.7946
t-SNE,COIL-20,100,0.666,12.5107
t-SNE,Shuttle,100,0.9951,79.9636
t-SNE,Fashion MINST,100,0.8127,91.0472
